id,제품명,제품회사,분류,성분,효능,용법,저장방법
20,  종근당세팔로틴주0.5그램(세팔로틴나트륨)  ,  (주)종근당  ,19930115,   세팔로틴나트륨  ,"  포도구균, 연쇄구균(장내구균제외), 폐렴연쇄구균, 대장균, 임균  ","  (주사)성인 : 세팔로틴나트륨으로서 1일 16g(역가)을 46회 분할 정맥 또는 근육주사 한다.소아 : 1일 체중 kg당 2080mg(역가)을 분할 정맥 또는 근육주사한다.연령, 증상에 따라 적절히 증감한다.(주사액의 조제법)간헐투여의 정맥주사시는 0.51g(역가)을 10ml의 생리식염주사액에 녹여 34분간 천천히 주사하고 수액중의 환자에는 수액관내에 천천히 주입하며 1일 총투여량을 1일 총수액량에 녹여점적정맥주사할 수 있다. 점적정맥주사시 녹일 때 주사용수는 사용하지 않는다.(등장액이아님)  ",  밀봉용기에 넣어 실온에 보관  
21,  종근당세팔로틴주2그램(세팔로틴나트륨)  ,  (주)종근당  ,19930115,   세팔로틴나트륨  ,   성인 : 세팔로틴으로서 1일 1～6g(역가)을 4～6회 분할 정맥 또는 근육주사한다.  ,"   성인 : 세팔로틴으로서 1일 1～6g(역가)을 4～6회 분할 정맥 또는 근육주사한다. 소아 : 1일 체중 Kg당 20～80mg(역가)을 분할 정맥 또는 근육주사한다.연령, 증상에 따라 적절히 증감한다.<주사액의 조제법>간헐투여의 정맥 주사시는 0.5～1g(역가)을 10mL의 생리식염주사액에 녹여 3～4분간 천천히 주사하고 수액중인 환자에는 수액관내의 천천히 주입하며 1일 총 투여량을 1일 총수액량에 녹여 점적 정맥주사할 수 있다. 점적 정맥주사 시 녹일 때 주사용수는 사용하지 않는다(등장액이 아님).  ",  밀봉용기에넣어 실온에 보관  
22,  티나덱스연고  ,  (주)종근당  ,19930125,"   네오마이신황산염, 센텔라정량추출물, 히드로코르티손아세테이트  ","  네오마이신 감수성 세균에 의해 2차 감염된 코르티코이드 반응성 피부질환의 초기 치료 : 피부염, 감염된 상처  ",  1일 1～2회 적당량을 환부(질환 부위)에 바른다.  ,  기밀용기에 넣어 실온에 보관  
23,  유메롤주125밀리그람(호박산메칠프레드니솔론나트륨)  ,  (주)종근당  ,19930210,   호박산메칠프레드니솔론나트륨  ,"  이 약은 경구요법의 효과가 불확실하고 또한 용량, 제형 및 투여경로 등으로 보아 치료용도에 적절하다고 간주할 경우, 아래의 질환에 정맥 또는 근육주사한다.  ","  1. 생명이 위급한 상태(즉, 쇽상태)의 보조요법 : 메칠프레드니솔론으로서 체중 kg당 30mg을 최소한 30분간에 걸쳐 정맥내투여한다. 이 용량은 46시간마다 48시간까지 투여될 수 있다.2. 급성 척수손상 : 메칠프레드니솔론으로서 체중 kg당 30mg을 15분간에 걸쳐 정맥내투여하고 45분 경과 후에 23시간동안 시간당 5.4mg/kg을 정맥내 연속 주입한다. 주입펌프를 위한 독립된 정맥내 부위가 있어야 한다. 치료는 손상이 있은 후 8시간 이내에 개시되어야 한다.3. 다발성 경화증 : 다발성 경화증의 급성 악화시 1주일간 매일 200mg의 프레드니솔론을 주사하고 그 후 한달 간 격일로 프레드니솔론 80mg을 투여하는 것이 효과적이다(5mg의 프레드니솔론은 4mg의 메칠프레드니솔론과 동등하다).4. 다른 질환에 있어서는 치료하는 방법에 따라 메칠프레드니솔론으로서 1040mg을 개시요법으로 사용하며, 중증의 급성상태인 경우에 치료효과를 빨리 보기 위해서는 용량을 증가할 수 있다. 치료개시 때에는 1분 또는 수분에 걸쳐서 정맥주사하며, 다음의 투여량을 환자의 반응과 상태에 따라 일정간격을 두고서 정맥 또는 근육주사할 수 있다. 모든 코르티코이드요법은 통상적인 치료의 보조요법이며 이와 대체될 수는 없다. 소아에게 투여할 경우에는 용량을 줄여야 하며, 투여량은 환자의 나이나 크기보다는 증세의 경중과 투여에 대한 반응에 근거하여 결정하되 24시간마다 메칠프레드니솔론으로서 체중 kg당 0.5mg 이상으로 한다.5. 수일간 투여한 경우에는 점차적으로 투여량을 줄이거나 투여를 중지해야 하며, 만성 상태에 있어서 한동안 자연적인 차도가 나타나는 경우에는 투여를 중지한다. 장기간 투여하는 경우에는 일정 간격을 두고서 요분석, 식사 2시간후의 혈당검사, 혈압측정, 체중검사, 흉부X선 검사 등을 해야 하며, 궤양의 병력이 있거나 소화불량증이 확실한 환자인 경우에는 상부위장의 X선 검사를 하는 것이 바람직하다.6. 이 약은 정맥, 근육 또는 정맥내 점적 주입에 의해서 투여될 수 있다. 응급시에는 정맥주사하는 것이 더 바람직하며, 정맥 또는 근육주사시에는 직접 용액을 조제한다. 설정된 용량은 수분에 걸쳐 정맥내 투여될 수 있으며, 정맥내 점적 주입을 하고자 할 경우에는 별첨 용제를 바이알에 주입하여 분말을 녹인 후 적당량의 5%포도당 주사액, 생리식염주사액, 또는 5% 포도당 생리식염주사액에 희석하여 사용한다. 희석된 용액은 48시간 동안 물리화학적으로 안정하다.  ",  DUR성분(성분1/성분2.. 병용성분 )메틸프레드니솔론 스파플록사신   
24,  유메롤주500밀리그람(호박산메칠프레드니솔론나트륨)  ,  (주)종근당  ,19930210,   호박산메칠프레드니솔론나트륨  ,"  원발성 및 속발성 부신피질기능부전증(히드로코르티손이나 코르티손이 1차 선택 약물이며,필요한 경우 광질코르티코이드와 병용해서 합성 코르티코이드를 사용할 수도 있고, 특히영아기에는 광질코르티코이드를 병용하는 것이 중요함), 급성 부신기능부전증(히드로코르티손이나 코르티손이 1차 선택 약물이며, 필요할 경우 특히 합성 코르티코이드를 사용할경우, 광질코르티코이드의 보충이 필요할 수도 있음), 수술 전 및 심한 외상이나 질병시.부신기능부전증 환자 또는 부신피질호르몬의 보유량이 의심스러운 환자, 쇽(통상요법으로는 반응이 없고 부신기능부전 또는 우려되는 경우), 선천성 부신 이상증식, 암에 수반된고칼슘혈증, 비화농성 갑상선염  ","  1. 생명이 위급한 상태(즉, 쇽상태)의 보조요법 : 메칠프레드니솔론으로서 체중 kg당 30mg을 최소한 30분간에 걸쳐 정맥내투여한다. 이 용량은 46시간마다 48시간까지 투여될 수 있다.2. 급성 척수손상 : 메칠프레드니솔론으로서 체중 kg당 30mg을 15분간에 걸쳐 정맥내투여하고 45분 경과 후에 23시간동안 시간당 5.4mg/kg을 정맥내 연속 주입한다. 주입펌프를 위한 독립된 정맥내 부위가 있어야 한다. 치료는 손상이 있은 후 8시간 이내에 개시되어야 한다.3. 다발성 경화증 : 다발성 경화증의 급성 악화시 1주일간 매일 200mg의 프레드니솔론을 주사하고 그 후 한달 간 격일로 프레드니솔론 80mg을 투여하는 것이 효과적이다(5mg의 프레드니솔론은 4mg의 메칠프레드니솔론과 동등하다).4. 다른 질환에 있어서는 치료하는 방법에 따라 메칠프레드니솔론으로서 1040mg을 개시요법으로 사용하며, 중증의 급성상태인 경우에 치료효과를 빨리 보기 위해서는 용량을 증가할 수 있다. 치료개시 때에는 1분 또는 수분에 걸쳐서 정맥주사하며, 다음의 투여량을 환자의 반응과 상태에 따라 일정간격을 두고서 정맥 또는 근육주사할 수 있다. 모든 코르티코이드요법은 통상적인 치료의 보조요법이며 이와 대체될 수는 없다. 소아에게 투여할 경우에는 용량을 줄여야 하며, 투여량은 환자의 나이나 크기보다는 증세의 경중과 투여에 대한 반응에 근거하여 결정하되 24시간마다 메칠프레드니솔론으로서 체중 kg당 0.5mg 이상으로 한다.5. 수일간 투여한 경우에는 점차적으로 투여량을 줄이거나 투여를 중지해야 하며, 만성 상태에 있어서 한동안 자연적인 차도가 나타나는 경우에는 투여를 중지한다. 장기간 투여하는 경우에는 일정 간격을 두고서 요분석, 식사 2시간후의 혈당검사, 혈압측정, 체중검사, 흉부X선 검사 등을 해야 하며, 궤양의 병력이 있거나 소화불량증이 확실한 환자인 경우에는 상부위장의 X선 검사를 하는 것이 바람직하다.6. 이 약은 정맥, 근육 또는 정맥내 점적 주입에 의해서 투여될 수 있다. 응급시에는 정맥주사하는 것이 더 바람직하며, 정맥 또는 근육주사시에는 직접 용액을 조제한다. 설정된 용량은 수분에 걸쳐 정맥내 투여될 수 있으며, 정맥내 점적 주입을 하고자 할 경우에는 별첨 용제를 바이알에 주입하여 분말을 녹인 후 적당량의 5%포도당 주사액, 생리식염주사액, 또는 5% 포도당 생리식염주사액에 희석하여 사용한다. 희석된 용액은 48시간 동안 물리화학적으로 안정하다.  ",  DUR성분(성분1/성분2.. 병용성분 )메틸프레드니솔론 스파플록사신   
25,  은엑손정(은행엽엑스)  ,  (주)종근당  ,19930524,   은행엽엑스  ,  1) 말초동맥 순환장애(간헐성 파행증)의 치료  ,"   1) 말초동맥순환장애, 어지러움, 이명: 은행엽엑스로서 1회 40밀리그람 1일 3회 또는1회 80밀리그람, 1일 2회 경구투여한다.2) 기질성 뇌기능장애 : 은행엽엑스로서 1회 40~80밀리그람 1일 3회 또는 1회 120밀리그람 1일 2회 경구투여한다.연령, 증상에 따라 적절히 증감한다.  ","  밀폐용기,실온보관  "
26,  낙센에프정(나프록센)  ,  (주)종근당  ,  전문의약품  ,   나프록센  ,"  류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염, 급성통풍, 월경곤란증  ","  1. 류마티양 관절염, 골관절염, 강직성 척추염성인 : 나프록센으로서 1회 250500mg 1일 2회(12시간마다) 경구투여 한다.저용량에 대해 내약성이 우수한 성인 환자에 있어서 고수준의 항염증 효과가 요구될 경우 제한된 기간 동안 용량을 1일 1,500mg까지 높일 수 있다. 이 경우 환자에 대한 임상적 유익성이 증가된 위험성을 상회하는지 확인할 것.2. 급성통풍성인 : 나프록센으로서 초회량으로 750mg을 경구투여하고 발작이 소실될때까지 8시간간격으로 250mg을 경구투여한다.3. 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염성인 : 나프록센으로서 초회량으로 500mg을 경구투여한 후 68시간 간격으로 250mg씩 투여한다. 1일 총용량이 1,250mg을 초과하지 않도록 한다.4. 편두통성인 : 나프록센으로서 초회량으로 750mg을 경구투여한다. 필요하면 1일 250500mg을 더 투여할 수 있으며, 초회량의 투여 30분 후에 투여한 다. 1일 총용량이 1,250 mg을 초과하지 않도록 한다.연령, 증상에 따라 적절히 증감한다.  ",  DUR성분(성분1/성분2.. 병용성분 )케토롤락 나프록센   
27,  오프벨라점안액(오플록사신)  ,  (주)종근당  ,  전문의약품  ,   오플록사신  ,"  본제 감수성의 포도구균속, 연쇄상구균속, 폐렴구균, 장구균속, 소구균속, 모락셀라속, 간균속, 클렙시엘라속, 세라치아속, 프로테우스속, 모르가넬라 모르가니, 프로비덴시아속, 혈호균속 인플루엔자균, 헤모필루스 애집티우스 (KochWeeks bacillus) , 슈도모나스속, 녹농균, 벅홀데리아 세파시스, 스테노트로포모나스(산토모나스)말토필리아, 아시네토박터속, 프로피오니박테리움아크네스  ","   1회 1방울 1일 3회 점안(도포)한다.증상에 따라 적절히 증감한다.수술후 감염증 : 수술전 2일간 1일 5회 점안, 수술 당일에는 수술의 시각, 수술의 종류에 따라 적의 점안하고 수술 직후에 1회 점안, 이후는 포대교환시 매회 점안한다.  ","  기밀용기, 실온(1~30℃)보관  "
28,  모드콜에스캅셀  ,  (주)종근당  ,19930827,"   무수카페인, 디엘말레인산클로르페니라민, 구아이페네신, 질산치아민, 갈근탕엑스말, 히벤즈산티페피딘, 아세트아미노펜  ","  감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화  ","  성인 1회 1캅셀, 1일 3회 식후복용  ","  기밀용기, 실온보관  "
29,  아이잘정160밀리그람(아세트아미노펜)  ,  (주)종근당  ,19931112,   아세트아미노펜  ,  만 12세 이하의 소아:  ,"  만 12세 이하의 소아:다음 1회 권장용량을 46시간 마다 필요시 복용한다. 이 약은 가능한 최단기간동안 최소 유효용량으로 복용하며, 1일 5회(75mg/kg)를 초과하여 복용하지 않는다. 몸무게를 아는 경우 몸무게에 따른 용량(10~15mg/kg)으로 복용하는 것이 더 적절하다. 연령  몸무게  아세트아미노펜으로서 1회 권장 용량  이 약 1회 권장용량  4개월~6개월  7 ~ 7.9kg  80mg    7개월~23개월  8 ~ 11.9kg  120mg    만 2~3세  12 ~ 15.9kg  160mg  1정  만 4세~6세  16 ~ 22.9kg  240mg  1~2정  만 7세~8세  23 ~ 29.9kg  320mg  2정  만 9세~10세  30 ~ 37.9kg  400mg  2~3정  만 11세  38 ~ 42.9kg  480mg  3정  만 12세  43kg 이상  640mg  4정   ",  밀폐용기. 실온보관  
